kepid,kepoi_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_num_transits,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_smass,koi_kepmag,ra,dec
9574614,K01745.01,CANDIDATE,0.982090079,1.44892,5396.7,1359.0,304.1,29.95,1568.0,1426.18,5472.0,4.573,0.742,0.75,15.933,284.9671,46.27626
9674608,K01795.01,FALSE POSITIVE,2.972047661,1.198,5945.0,448.0,20.0,24.74,881.0,142.01,4491.0,4.58,0.711,0.702,15.772,300.41727,46.335991
8495415,K02362.01,FALSE POSITIVE,2.237180102,1.4734,493.8,506.0,23.3,1.75,1134.0,390.02,5080.0,4.538,0.793,0.792,15.938,291.88126,44.555729
10341905,K02391.01,FALSE POSITIVE,0.93374232,6.552,351.4,1441.0,49.1,18.29,1638.0,1706.25,5553.0,4.577,0.806,0.903,15.239,292.77484,47.451099
10336927,K02394.01,FALSE POSITIVE,134.76308997,8.77,,,,,,,,,,,14.922,290.82733,47.446861
12115188,K02396.01,FALSE POSITIVE,0.495434094,1.2496,287.9,1352.0,57.2,1.57,2151.0,5088.43,5529.0,4.471,0.936,0.945,14.672,293.97278,50.645142
9850957,K02446.01,FALSE POSITIVE,8.48031302,5.988,107.0,128.0,20.2,2.74,1510.0,1229.56,6541.0,3.778,2.43,1.291,13.124,298.74857,46.68047
12470954,K00439.02,FALSE POSITIVE,5.40534383,2.32,,,,,,,,,,,14.313,296.40686,51.35815
8189801,K02480.01,CANDIDATE,0.66682654,0.7847,511.6,2005.0,33.4,1.49,1183.0,461.55,3993.0,4.696,0.554,0.556,15.745,298.92639,44.00219
11568224,K03973.01,FALSE POSITIVE,0.882131829,6.8106,3620.9,1535.0,70.6,8.13,1963.0,3510.31,6168.0,4.482,0.911,0.919,15.039,296.11182,49.561951
7938883,K03974.01,FALSE POSITIVE,0.489682339,1.7495,431674.0,0.0,628.2,37.47,1251.0,580.4,3898.0,4.735,0.53,0.556,16.946,282.19308,43.733219
9280239,K03975.01,CONFIRMED,364.751562,13.057,1481.5,4.0,25.5,2.89,166.0,0.18,4386.0,4.629,0.63,0.616,15.188,291.58517,45.71579
4544571,K03976.01,FALSE POSITIVE,2.189098506,5.1498,2533.7,520.0,194.9,29.7,1288.0,651.22,5681.0,4.551,0.859,0.957,15.753,285.87671,39.685951
3245661,K03977.01,FALSE POSITIVE,0.7088055,3.6789,17575.0,1223.0,195.6,41.08,2035.0,4055.22,5989.0,4.5,0.908,0.95,15.036,294.04828,38.364109
5618071,K01682.01,FALSE POSITIVE,88.821421,9.35,393.7,,7.8,234.99,634.0,38.13,5081.0,3.484,3.365,1.258,13.747,291.21811,40.839329
6312534,K01689.01,FALSE POSITIVE,1.507761203,3.096,2773.7,892.0,153.1,31.77,1301.0,675.11,5069.0,4.53,0.818,0.826,15.583,298.88397,41.662079
6470917,K01690.01,FALSE POSITIVE,1.506019633,2.408,136.9,900.0,18.8,1.08,1628.0,1660.03,6065.0,4.454,0.896,0.833,15.005,299.10248,41.887459
7431709,K07838.01,FALSE POSITIVE,0.572513875,2.353,49.3,2335.0,10.2,0.52,1779.0,2365.45,5171.0,4.576,0.76,0.793,15.078,287.39417,43.080681
6611330,K01691.01,FALSE POSITIVE,35.14578122,2.253,6789.4,30.0,86.8,32.5,480.0,12.6,5437.0,4.554,0.783,0.801,15.838,293.33807,42.016312
6699368,K01694.01,FALSE POSITIVE,3.690317047,1.3784,465.5,363.0,43.0,20.23,1280.0,634.09,6120.0,4.395,1.054,1.003,14.336,294.01492,42.139191
9886255,K01846.01,CONFIRMED,105.9566815,6.9988,2286.4,13.0,51.8,3.79,324.0,2.59,5327.0,4.581,0.8,0.891,15.795,289.86963,46.72971
